Sec,EB_AvgSp,EB_SdSp,EB_AvgSpT,EB_SdSpT
1,86.41,19.57,96.41,19.57
2,88.02,20.04,98.02,20.04
3,87.88,20.07,97.88,20.07
4,86.3,21.02,96.3,21.02
5,89.83,20.25,99.83,20.25
6,84.35,20.5,94.35,20.5
7,82.57,20.58,92.57,20.58
8,86.65,21.5,96.65,21.5
9,86.43,21.29,96.43,21.29
10,86.22,21.79,96.22,21.79
11,88.35,23.6,98.35,23.6
12,86.36,24.32,96.36,24.32
13,86.86,24.54,96.86,24.54
14,80.84,25.72,90.84,25.72
15,76.27,26.07,86.27,26.07
16,76.6,25.1,86.6,25.1
17,76.67,24.61,86.67,24.61
18,76.27,22.88,86.27,22.88
19,65.11,19.34,75.11,19.34
20,65.39,16.01,75.39,16.01
21,71.51,13.9,81.51,13.9
22,72.54,13.63,82.54,13.63
23,71.46,12.74,81.46,12.74
24,74.33,12.95,84.33,12.95
25,78.87,14.32,88.87,14.32
26,86.89,17.01,96.89,17.01
27,84.76,19.96,94.76,19.96
28,84.66,21.66,94.66,21.66
29,84,22.43,94,22.43
30,83.46,23.21,93.46,23.21
31,80.56,23.92,90.56,23.92
32,83.93,19.9,93.93,19.9
33,85.42,19.5,95.42,19.5
34,85.75,19.62,95.75,19.62
35,85.97,19.93,95.97,19.93
36,85.99,20.26,95.99,20.26
37,89.38,18.32,99.38,18.32
38,85.62,23.72,95.62,23.72
39,87.08,21.22,97.08,21.22
40,87.91,17.99,97.91,17.99
41,85.97,15.92,95.97,15.92
42,89.14,15.9,99.14,15.9
43,88.14,16.88,98.14,16.88
44,85.85,16.63,95.85,16.63
45,85.6,15.6,95.6,15.6
46,85.53,16.01,95.53,16.01
47,85.62,16.49,95.62,16.49
48,85.74,19.23,95.74,19.23
49,87.58,17.14,97.58,17.14
50,88.11,16.99,98.11,16.99
51,87.52,18.5,97.52,18.5
52,88.11,18.34,98.11,18.34
53,88.77,17.85,98.77,17.85
54,88.85,17.49,98.85,17.49
55,92.12,16.43,102.12,16.43
56,91.75,16.3,101.75,16.3
57,87.69,15.87,97.69,15.87
58,87.28,17.71,97.28,17.71
59,86.3,19.72,96.3,19.72
60,90.85,17.06,100.85,17.06
61,89.1,17.13,99.1,17.13
62,89.07,16.18,99.07,16.18
63,88.75,16.31,98.75,16.31
64,88.52,16.35,98.52,16.35
65,88.24,16.34,98.24,16.34
66,87.91,16.73,97.91,16.73
67,87.78,17.26,97.78,17.26
68,86.52,19.27,96.52,19.27
69,86.67,18.62,96.67,18.62
70,86.94,17.9,96.94,17.9
71,87.39,17.25,97.39,17.25
72,87.65,16.96,97.65,16.96
73,88.13,16.45,98.13,16.45
74,89.17,16.08,99.17,16.08
75,90.08,15.83,100.08,15.83
76,90.85,15.91,100.85,15.91
77,91.45,15.99,101.45,15.99
78,91.81,16.16,101.81,16.16
79,91.91,16.26,101.91,16.26
80,91.99,16.21,101.99,16.21
81,92.02,16.26,102.02,16.26
82,92.06,16.27,102.06,16.27
83,92.12,16.22,102.12,16.22
84,92.16,16.06,102.16,16.06
85,89.49,15.95,99.49,15.95
86,90.59,17.49,100.59,17.49
87,90.29,17.58,100.29,17.58
88,88.94,18.02,98.94,18.02
89,87.46,17.28,97.46,17.28
90,87.73,17.06,97.73,17.06
91,89.37,17.27,99.37,17.27
92,89.21,17.9,99.21,17.9
93,88.53,18.4,98.53,18.4
94,88.27,18.84,98.27,18.84
95,88.25,18.89,98.25,18.89
96,88.11,18.87,98.11,18.87
97,88.12,19.52,98.12,19.52
98,86.56,23.28,96.56,23.28
99,83.6,26.29,93.6,26.29
100,78.77,25.4,88.77,25.4
101,78.55,25.62,88.55,25.62
102,77.77,26.03,87.77,26.03
103,77.15,26.5,87.15,26.5
104,76.87,26.49,86.87,26.49
105,76.58,26.4,86.58,26.4
106,76.42,26.47,86.42,26.47
107,76.3,26.45,86.3,26.45
108,75.89,26.41,85.89,26.41
109,75.61,26.12,85.61,26.12
110,75.3,26.13,85.3,26.13
111,77.37,24.22,87.37,24.22
112,75.52,26.66,85.52,26.66
113,77.98,23.46,87.98,23.46
114,77.15,23.2,87.15,23.2
115,76.04,21.78,86.04,21.78
116,72.22,21.1,82.22,21.1
117,75.25,21.1,85.25,21.1
118,75.09,21.25,85.09,21.25
119,74,21.77,84,21.77
120,72.55,21.4,82.55,21.4
121,72,21.14,82,21.14
122,71.71,21.35,81.71,21.35
123,71.87,20.78,81.87,20.78
124,77.18,21.13,87.18,21.13
125,77.13,21.05,87.13,21.05
126,76.96,21.22,86.96,21.22
127,75.07,20.74,85.07,20.74
128,79.4,22.46,89.4,22.46
129,78.08,21.26,88.08,21.26
